Station ID,Group,Sample Date (mm/dd/yyyy),Sample Time (hh:mm),Establishment Date (mm/dd/yyyy),Establishment Time (hh:mm),Time Zone,Direction (Collar Number),Direction (Compass Degrees),Pin Number,Observed Pin Height (mm),Verified Pin Height (mm),SETID,Organization,Personnel,Observation Comments,Verification Comments,Site Conditions
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,1,579,579,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,2,582,582,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,3,570,570,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,4,563,563,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,In a natural depression. ,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,5,551,551,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,In a natural depression. ,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,6,560,560,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,In a natural depression. ,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,7,572,572,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,8,555,555,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,In a natural depression. ,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,9,559,559,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,In a natural depression. ,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,3,310,1,570,570,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,3,310,2,569,569,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
