Station ID,Group,Sample Date (mm/dd/yyyy),Sample Time (hh:mm),Establishment Date (mm/dd/yyyy),Establishment Time (hh:mm),Time Zone,Direction (Collar Number),Direction (Compass Degrees),Pin Number,Observed Pin Height (mm),Verified Pin Height (mm),SETID,Organization,Personnel,Observation Comments,Verification Comments,Site Conditions
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,1,304,1,383,383,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,1,304,2,380,380,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,1,304,3,368,368,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,1,304,4,389,389,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,1,304,5,402,402,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,1,304,6,393,393,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,1,304,7,382,382,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,1,304,8,374,374,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,1,304,9,365,365,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,3,214,1,362,362,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,3,214,2,345,345,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,3,214,3,326,326,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,3,214,4,347,347,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,3,214,5,332,332,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,3,214,6,374,,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,"On Hymenocallis stem, pin not on surface ",,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,3,214,7,329,329,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,3,214,8,329,329,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,3,214,9,334,334,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,5,124,1,293,293,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,5,124,2,308,308,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,5,124,3,319,319,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,5,124,4,322,322,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,5,124,5,334,334,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,5,124,6,336,336,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,5,124,7,334,334,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,5,124,8,323,323,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,5,124,9,327,327,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
CRMS0565-E01,,4/17/2024,11:49,2/7/2008,9:22,CST,7,34,1,362,362,USGS1,U.S. GEOL SURVEY (USGS),B. Bergeron; G. Kees; R. Villani,,,"Rod to collar = 153 mm; Below photo taken in direction 5; There is a crust present on surface, possibly dead algae; Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; soil is organic and soft; no thatch; disturbance is none"
