"","Station ID","Sample Date (mm/dd/yyyy)","Direction (Collar Number)","Pin Number","Flagged Comment"
"1","CRMS0550-E01","2/13/2023",1,1,"In Sus scrofa trail. "
"2","CRMS0550-E01","2/13/2023",1,2,"In Sus scrofa trail. "
"3","CRMS0550-E01","2/13/2023",1,3,"In Sus scrofa trail. "
"4","CRMS0550-E01","2/13/2023",1,4,"In Sus scrofa trail. "
"5","CRMS0550-E01","2/13/2023",1,5,"In Sus scrofa trail. "
"6","CRMS0550-E01","2/13/2023",1,6,"In Sus scrofa trail. "
"7","CRMS0550-E01","2/13/2023",1,7,"In Sus scrofa trail. "
"8","CRMS0550-E01","2/13/2023",1,8,"In Sus scrofa trail. "
"9","CRMS0550-E01","2/13/2023",1,9,"In Sus scrofa trail. "
"10","CRMS0550-E01","2/13/2023",3,1,"In Sus scrofa trail. "
"11","CRMS0550-E01","2/13/2023",3,2,"In Sus scrofa trail. "
"12","CRMS0550-E01","2/13/2023",3,3,"In Sus scrofa trail. "
"13","CRMS0550-E01","2/13/2023",3,4,"In Sus scrofa trail. "
"14","CRMS0550-E01","2/13/2023",3,5,"In Sus scrofa trail. "
"15","CRMS0550-E01","2/13/2023",3,6,"In Sus scrofa trail. "
"16","CRMS0550-E01","2/13/2023",3,7,"In Sus scrofa trail. "
"17","CRMS0550-E01","2/13/2023",3,8,"In Sus scrofa trail. "
"18","CRMS0550-E01","2/13/2023",3,9,"In Sus scrofa trail. "
"19","CRMS0550-E01","2/13/2023",5,1,"In Sus scrofa trail. "
"20","CRMS0550-E01","2/13/2023",5,2,"In Sus scrofa trail. "
"21","CRMS0550-E01","2/13/2023",5,3,"In Sus scrofa trail. "
"22","CRMS0550-E01","2/13/2023",5,4,"In Sus scrofa trail. "
"23","CRMS0550-E01","2/13/2023",5,5,"In Sus scrofa trail. "
"24","CRMS0550-E01","2/13/2023",5,6,"In Sus scrofa trail. "
"25","CRMS0550-E01","2/13/2023",5,7,"In Sus scrofa trail. "
"26","CRMS0550-E01","2/13/2023",5,8,"In Sus scrofa trail. "
"27","CRMS0550-E01","2/13/2023",5,9,"In Sus scrofa trail. "
"28","CRMS0550-E01","2/13/2023",7,1,"In Sus scrofa trail. "
"29","CRMS0550-E01","2/13/2023",7,2,"In Sus scrofa trail. "
"30","CRMS0550-E01","2/13/2023",7,3,"In Sus scrofa trail. "
"31","CRMS0550-E01","2/13/2023",7,4,"In Sus scrofa trail. "
"32","CRMS0550-E01","2/13/2023",7,5,"In Sus scrofa trail. "
"33","CRMS0550-E01","2/13/2023",7,6,"In Sus scrofa trail. "
"34","CRMS0550-E01","2/13/2023",7,7,"In Sus scrofa trail. "
"35","CRMS0550-E01","2/13/2023",7,8,"In Sus scrofa trail. "
"36","CRMS0550-E01","2/13/2023",7,9,"In Sus scrofa trail. "
"37","CRMS0527-E01","3/8/2023",5,1,"In animal trail."
"38","CRMS0527-E01","3/8/2023",5,2,"In animal trail."
"39","CRMS0527-E01","3/8/2023",5,3,"In animal trail."
"40","CRMS0527-E01","3/8/2023",5,4,"In animal trail."
"41","CRMS0527-E01","3/8/2023",5,5,"In animal trail."
"42","CRMS0527-E01","3/8/2023",5,6,"On edge of animal trail."
"43","CRMS0544-E01","3/14/2023",7,1,"In an animal trail."
"44","CRMS0544-E01","3/14/2023",7,2,"In an animal trail."
"45","CRMS0544-E01","3/14/2023",7,3,"In an animal trail."
"46","CRMS0544-E01","3/14/2023",7,4,"In an animal trail."
